id,smiles,veber_pass,ghose_pass,egan_pass,muegge_pass,pains_flag,sa_score,tice_agro_pass,hazard_any,covalent_warhead_any,structural_alert_hits,green_chem_proxy,desirability
centazolone,Nn1cnc2cc3ccccc3cc2c1=O,1,0,1,1,0,2.37,1,0,0,,2.65,0.6367
chloralhydrate,OC(O)C(Cl)(Cl)Cl,1,0,1,0,0,1.0,0,0,1,haloacetamide_warhead,3.843,0.5921
chlordiazepoxide,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,1,1,1,1,0,2.32,1,0,0,,3.014,0.7374
chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1,1,1,1,0,2.117,1,0,0,,2.736,0.7779
chlorprothixene,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,1,1,1,0,1,2.203,1,0,0,,2.651,0.358
chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,1,0,1,0,0,1.92,1,0,0,,3.191,0.6958
choline,C[N+](C)(C)CCO,1,0,1,0,0,1.0,0,0,0,,1.057,0.6199
clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,1,1,1,0,2.32,1,0,0,,3.014,0.7227
Salicyluricacid,O=C(O)CNC(=O)c1ccccc1O,1,0,1,0,0,1.497,0,0,0,,2.283,0.5979
Sulforidazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,1,1,1,1,0,2.676,1,0,0,,2.524,0.7682
Teflurane,FC(Br)C(F)(F)F,1,0,1,0,0,1.0,1,0,1,haloacetamide_warhead,4.843,0.683
Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,1,0,1,0,0,1.617,0,0,0,,2.756,0.6653
Thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1,0,1,1,0,1.047,1,0,0,,1.656,0.6983
Toluene,Cc1ccccc1,1,0,1,0,0,1.319,1,0,0,,1.186,0.6482
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,1,1,1,1,0,2.719,1,0,0,,3.888,0.7262
GR94839_G,CC(=O)N1CCN(C(=O)Cc2cccc([N+](=O)[O-])c2)[C@@H](CN2CC[C@H](O)C2)C1,1,1,1,1,0,2.415,0,0,0,,2.401,0.5834
GR94839_H,CC(=O)N1CCN(C(=O)Cc2ccccc2)[C@@H](CN2CC[C@@H](O)C2)C1,1,1,1,1,0,2.355,0,0,0,,2.157,0.6424
GR94839_I,CC(=O)N1CCN(C(=O)Cc2ccc([S@@](C)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,1,1,1,1,0,2.64,0,0,0,,2.277,0.602
GR94839_L,CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)[C@@H](CN2CC[C@H](O)C2)C1,1,1,1,1,0,2.41,0,0,0,,2.351,0.6001
ICI197067,CC(C)[C@@H](CN1CCCC1)N(C)C(=O)Cc1ccc(Cl)c(Cl)c1,1,1,1,1,0,1.677,1,0,0,,2.763,0.7294
ICI199441,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1ccccc1,1,1,1,1,0,2.363,1,0,0,,3.172,0.7037
isoxicam,Cc1cc(N/C(O)=C2\C(=O)c3ccccc3S(=O)(=O)N2C)no1,1,1,1,1,0,2.339,1,0,1,acrylamide_warhead,2.96,0.6404
Levallorphan,C=CCN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1,1,1,1,0,2.875,1,0,0,,2.023,0.7754
lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,1,1,1,1,0,2.306,1,0,0,cyp_pyridine_heme,3.531,0.6881
clomipramine,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,1,1,1,0,2.048,1,0,0,,2.514,0.7785
clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1,1,1,1,0,2.41,1,0,0,,3.301,0.669
clopenthixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,1,1,1,1,1,2.504,1,0,0,,2.965,0.3684
clopimozide,O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1,0,0,0,0,3.064,0,0,0,cyp_imidazole_heme,4.343,0.6156
cocaine,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,1,1,1,1,0,2.855,1,0,0,,2.158,0.7249
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1,1,1,1,0,4.373,1,0,0,,2.601,0.7071
cyclazocine,CC1C2Cc3ccc(O)cc3C1(C)CCN2CC1CC1,1,1,1,1,0,2.75,1,0,0,,1.967,0.775
cyclophenazine,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2,1,1,1,0,0,2.776,1,0,0,,4.317,0.7173
deanol,CN(C)CCO,1,0,1,0,0,1.0,0,0,0,,1.2,0.6559
Trichloroethylene,ClC=C(Cl)Cl,1,0,1,0,0,1.1,1,0,0,,4.3,0.6959
Trichloromethane,ClC(Cl)Cl,1,0,1,0,0,1.0,1,0,1,haloacetamide_warhead,3.95,0.6908
Y-G16,NCCc1nccs1,1,0,1,0,0,1.03,0,0,0,,2.105,0.6859
Y-G19,NCCc1nc(-c2ccccc2)cs1,1,0,1,1,0,1.762,1,0,0,,2.097,0.7532
m-Xylene,Cc1cccc(C)c1,1,0,1,0,0,1.21,1,0,0,,1.1,0.6458
loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,1,1,1,1,0,2.504,1,0,0,cyp_pyridine_heme,2.965,0.7494
meloxicam,Cc1cnc(N/C(O)=C2/C(=O)c3ccccc3S(=O)(=O)N2C)s1,1,1,1,1,0,2.339,1,0,1,acrylamide_warhead,2.96,0.626
Nalorphine,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1,1,1,1,0,4.492,1,0,0,,2.643,0.7831
naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1,1,1,1,0,4.42,1,0,0,,2.88,0.789
norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,1,1,1,1,0,2.06,1,0,0,cyp_pyridine_heme,3.013,0.6908
pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,1,1,1,1,0,2.036,1,0,0,cyp_pyridine_heme,2.946,0.7053
piroxicam,CN1/C(=C(/O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,1,1,1,1,0,2.43,1,0,1,acrylamide_warhead; cyp_pyridine_heme,2.89,0.6674
roxindole,Oc1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1,1,1,1,1,0,2.555,1,0,0,,2.303,0.7278
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,1,0,1,1,1,4.84,0,0,0,,3.114,0.3012
desipramine,CNCCCN1c2ccccc2CCc2ccccc21,1,1,1,1,0,2.05,1,0,0,,1.933,0.7876
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,1,1,1,0,2.3,1,0,0,,2.9,0.7549
dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,1,1,1,1,0,4.24,1,0,0,,2.512,0.7303
dihydromorphine,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,1,1,1,1,0,4.244,1,0,0,,2.554,0.7713
diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,1,0,1,1,0,1.727,1,0,0,,1.68,0.7203
diphenhylhydantoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1,0,1,1,0,2.35,1,0,0,,2.478,0.7518
dixyrazine,CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21,1,1,1,1,1,2.65,1,0,0,,2.4,0.3651
DMT,COC(=O)c1ccc(C(=O)OC)cc1,1,0,1,0,0,1.39,1,0,0,,1.997,0.6872
o-Xylene,Cc1ccccc1C,1,0,1,0,0,1.21,1,0,0,,1.1,0.676
p-Xylene,Cc1ccc(C)cc1,1,0,1,0,0,1.21,1,0,0,,1.1,0.6449
2-propanol,CC(C)O,1,0,1,0,0,1.0,0,0,0,,1.0,0.6171
Delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,1,1,1,1,0,2.604,1,0,0,cyp_pyridine_heme; cyp_aniline,2.847,0.668
Ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1,0,0,0,0,2.613,0,0,0,,2.132,0.576
Pirenzepine,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,1,1,1,1,0,2.541,1,0,0,cyp_pyridine_heme,2.755,0.7886
RP60180,CCCNC(=O)c1ccc2c(c1)N([C@@H](C)CN1CCCC1)c1ccccc1S2,1,1,1,1,0,2.688,1,0,0,,2.388,0.7504
rufloxacin,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,1,1,1,1,0,2.406,1,0,0,cyp_pyridine_heme,3.331,0.6993
salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1,0,1,1,0,1.294,0,0,0,,1.575,0.6111
Sankyo,CN1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1,1,1,1,1,0,2.047,1,0,0,,3.161,0.6741
SB201708,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1,1,1,1,1,0,2.602,1,0,0,,3.629,0.6687
SB204454,O=C1NC(=O)[C@@]2(CCN(C(=O)Cc3ccc(Cl)c(Cl)c3)[C@@H](CN3CCCC3)C2)N1,1,1,1,1,0,3.42,1,0,0,,3.691,0.6737
SB204459,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CC[C@@H](O)C1,1,1,1,1,0,2.872,1,0,0,,3.71,0.6164
SB204484,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ncnc2[C@H]1CN1CCCC1,1,1,1,1,0,2.57,1,0,0,,3.723,0.7023
SB205563,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)C[C@@H]1CN1CC[C@@H](O)C1,1,1,1,1,0,2.332,1,0,0,,3.284,0.6056
doxepin,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,1,1,1,1,0,2.154,1,0,0,,1.975,0.764
droperidol,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,1,1,1,1,0,2.633,1,0,0,cyp_imidazole_heme,3.125,0.7381
ectylurea,C/C=C(\CC)C(=O)NC(N)=O,1,0,1,0,0,1.0,0,0,1,acrylamide_warhead,1.748,0.6756
emylcamate,CCC(C)(CC)OC(N)=O,1,0,1,0,0,1.0,1,0,0,,1.214,0.7003
estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,1,1,1,1,0,2.745,1,0,0,,3.364,0.74
etaqualone,CCc1ccccc1-n1c(C)nc2ccccc2c1=O,1,1,1,1,0,2.238,1,0,0,,2.209,0.6942
etazolate,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C,1,1,1,1,0,1.606,1,0,0,cyp_pyridine_heme,2.257,0.653
ethchlorvynol,C#CC(O)(/C=C/Cl)CC,1,0,1,0,0,1.0,1,0,0,,1.824,0.6945
ethinamate,C#CC1(OC(N)=O)CCCCC1,1,0,1,0,0,1.0,1,0,0,,1.517,0.6412
5-69,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1,1,1,1,1,0,1.57,1,0,0,cyp_imidazole_heme,2.063,0.7801
7-K06,CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1,1,1,1,1,0,2.92,1,0,0,,2.862,0.7634
7-K08,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)cc(Cl)n2)CC1,1,1,1,1,0,1.79,1,0,0,cyp_pyridine_heme,4.367,0.7155
7-K10,Clc1ccc2c(c1)[C@H]1CCNC[C@@H]1c1ccccc1O2,1,1,1,1,0,2.947,1,0,0,,2.915,0.7801
SB205605,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2[C@H]1CN1CC[C@@H](O)C1,1,1,1,1,0,2.872,1,0,0,cyp_imidazole_heme,3.71,0.6231
skb_a,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,1,1,0,0,3.086,1,0,0,cyp_pyridine_heme,2.518,0.5934
skb_c,CC[C@H](NC(=O)c1c(OCCCN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,0,0,0,0,3.03,0,0,0,cyp_pyridine_heme,2.415,0.5455
skb-d,CC[C@H](NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,1,1,0,0,3.132,1,0,0,cyp_pyridine_heme,2.627,0.5366
skb-e,CC[C@H](NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,0,0,0,0,3.102,0,0,0,cyp_pyridine_heme,2.549,0.5061
skb-f,CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccc2C(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,0,0,0,0,3.68,0,0,0,cyp_pyridine_heme,2.912,0.4292
skb-g,CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,0,0,0,0,0,3.608,0,0,0,cyp_pyridine_heme,2.871,0.48
skb-h,CC[C@H](NC(=O)c1c(OCCNC(=O)[C@@H]2CCCN2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,0,1,0,0,3.693,0,0,0,cyp_pyridine_heme,2.813,0.5134
skb-i,CC[C@H](NC(=O)c1c(Cn2ccnc2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1,0,0,0,0,3.514,0,0,0,cyp_pyridine_heme,2.831,0.5813
sparfloxacin,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,1,1,1,1,0,2.892,1,0,0,cyp_pyridine_heme; cyp_aniline,3.785,0.6135
ethosuximide,CCC1(C)CC(=O)NC1=O,1,0,1,0,0,1.0,0,0,0,,1.629,0.6888
etymemazine,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,1,1,1,0,0,2.28,1,0,0,,1.971,0.7399
flupentixol,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,1,1,1,1,2.53,1,0,0,,4.087,0.365
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,1,1,1,0,2.455,1,0,0,,4.136,0.7628
flurazepam,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,1,1,1,1,0,2.19,1,0,0,,3.3,0.7537
glaziovine,COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2,1,1,1,1,0,3.223,1,0,1,acrylamide_warhead,2.434,0.7413
glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,1,0,1,1,0,1.808,1,0,0,,1.855,0.7564
haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1,1,1,1,0,2.113,1,0,0,,3.172,0.7581
harmalol,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12,1,0,1,0,0,2.25,1,0,0,cyp_pyridine_heme,2.433,0.6529
harman,Cc1nccc2c1[nH]c1ccccc12,1,0,1,0,0,2.23,1,0,0,cyp_pyridine_heme,2.262,0.6957
14,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,1,0,1,1,0,1.78,1,0,0,cyp_pyridine_heme,2.505,0.6196
15,Cc1cc(C(C)(C)SC(C)(C)CNc2[nH]ccc2[N+](=O)[O-])nc(C)c1C,1,1,1,0,0,1.588,1,0,0,cyp_pyridine_heme,1.987,0.6078
22,Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C,1,1,1,1,0,1.0,1,0,0,cyp_terminal_furan,1.3,0.7535
23,Cc1c[nH+][o+]c(C([NH])CC(C)C(C)(C)N(C(C)(C)C)C(C)(N)N)c1[O-],1,1,1,1,0,1.417,0,0,0,,1.518,0.704
tamitinol,CCNCc1c(CSC)cnc(C)c1O,1,0,1,1,0,1.0,1,0,0,cyp_pyridine_heme,1.664,0.7186
tenoxicam,CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,1,1,1,1,0,2.398,1,0,1,acrylamide_warhead; cyp_pyridine_heme; cyp_terminal_thiophene,3.066,0.674
terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1,0,0,0,0,2.825,0,0,0,,2.107,0.5698
U50488,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCC[C@H]1N1CCCC1,1,1,1,1,0,2.272,1,0,0,,3.02,0.7008
heroin,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,1,1,1,1,0,4.511,1,0,0,,2.748,0.6843
hexapropymate,C#CCC1(OC(N)=O)CCCCC1,1,0,1,0,0,1.0,1,0,0,,1.432,0.6865
homophenazine,OCCN1CCCN(CCCN2c3ccccc3Sc3cc(C(F)(F)F)ccc32)CC1,1,1,1,1,0,2.446,1,0,0,,4.092,0.7414
hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,1,1,1,1,0,4.057,1,0,0,,2.557,0.7435
hydroxyphenamate,CCC(O)(COC(N)=O)c1ccccc1,1,0,1,1,0,1.464,1,0,0,,1.809,0.7035
hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1,1,1,1,0,2.306,1,0,0,,2.634,0.7057
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,1,1,1,1,0,2.028,1,0,0,,1.891,0.785
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,1,0,1,1,0,1.716,1,0,0,,2.293,0.7388
kynurenic acid,O=C(O)c1cc(=O)c2ccccc2[nH]1,1,0,1,0,0,1.98,1,0,0,cyp_pyridine_heme,2.457,0.6078
8-5,Cc1ccc(CC2=CNC(NCCSCc3ccc(CN(C)C)o3)=NC2)cn1,1,1,1,1,0,2.096,1,0,0,cyp_pyridine_heme; cyp_terminal_furan,2.307,0.6964
BBcpd10,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1,1,0,1,1,0,1.733,0,0,0,cyp_pyridine_heme,2.622,0.7112
9-C1,Cn1c(=O)c2nc[nH]c2n(C)c1=O,1,0,1,0,0,1.617,0,0,0,cyp_imidazole_heme,2.756,0.6691
lenperone,O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1,1,1,1,1,0,2.154,1,0,0,,3.165,0.7352
levorphanol,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,1,0,1,1,0,2.754,1,0,0,,1.998,0.7647
lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,1,0,1,1,0,1.09,1,0,0,,1.429,0.734
lorazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1,1,1,1,0,2.64,1,0,0,,3.704,0.7224
lorcainide,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,1,1,1,1,0,2.079,1,0,0,,2.534,0.7619
meclofenoxate,CN(C)CCOC(=O)COc1ccc(Cl)cc1,1,0,1,1,0,1.19,1,0,0,,2.349,0.6961
mecloqualone,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,1,0,1,1,0,2.35,1,0,0,,2.978,0.6886
medazepam,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,1,0,1,1,0,2.205,1,0,0,,2.724,0.7695
meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,1,0,1,1,0,1.0,0,0,0,,1.578,0.6653
9-C15,COc1cc2c(c(CN[C@@H]3CCCN[C@H]3c3ccccc3)c1)OCC2,1,1,1,1,0,2.886,1,0,0,,2.337,0.7932
9-C7,NCCn1ncc2cc(Cl)c(Cl)cc21,1,0,1,1,0,1.713,1,0,0,,3.494,0.7319
Abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,1,1,1,1,0,2.72,1,0,0,,2.8,0.6283
Aciclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,1,0,1,1,0,1.57,0,0,0,,2.8,0.6192
Albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,0,1,1,0,1.66,1,0,0,cyp_imidazole_heme,2.333,0.7301
Amifostine,NCCCNCCSP(=O)(O)O,1,0,1,1,0,1.0,0,0,0,,1.95,0.5173
mescaline,COc1cc(CCN)cc(OC)c1OC,1,0,1,1,0,1.105,1,0,0,,1.736,0.71
mesoridazine,CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,1,1,1,1,0,2.906,1,0,0,,2.434,0.7615
methamphetamine,CN[C@@H](C)Cc1ccccc1,1,0,1,0,0,1.34,1,0,0,,1.253,0.7211
methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,1,0,1,1,0,2.28,1,0,0,,2.274,0.7044
methocarbamol,COc1ccccc1OCC(O)COC(N)=O,1,0,1,1,0,1.504,0,0,0,,2.068,0.6667
methopromazine,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,1,1,1,1,0,2.09,1,0,0,,2.179,0.7641
methotrimeprazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,1,1,1,1,0,2.318,1,0,0,,2.127,0.7485
methylpentynol,C#CC(C)(O)CC,1,0,1,0,0,1.0,0,0,0,,1.0,0.6421
methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,1,0,1,1,0,1.94,1,0,0,,1.729,0.7419
methyprylon,CCC1(CC)C(=O)NCC(C)C1=O,1,0,1,0,0,1.0,1,0,0,,1.352,0.7336
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0,0,0,0,0,5.705,0,0,0,,2.486,0.3048
Aminosalicylicacid,Nc1ccc(C(=O)O)c(O)c1,1,0,1,0,0,1.57,0,0,0,cyp_aniline,2.391,0.557
Cytarabine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,0,1,0,0,2.373,0,0,0,,2.567,0.5441
Dacarbazine,CN(C)N/N=C1/N=CN=C1C(N)=O,1,0,1,0,0,1.21,0,0,0,,2.649,0.6539
Daunorubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0,0,0,0,1,4.477,0,0,0,,3.013,0.2105
Demeclocycline,CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,0,1,0,0,0,3.833,0,0,1,acrylamide_warhead,3.426,0.3843
Desmethylclobazam,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1,1,1,1,1,0,2.37,1,0,0,,3.097,0.7595
Desmonomethylpromazine,CNCCCN1c2ccccc2Sc2ccccc21,1,0,1,1,1,2.13,1,0,0,,2.174,0.3949
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1,0,1,0,0,1.566,0,0,0,,2.354,0.7004
moperone,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,1,1,1,1,0,2.079,1,0,0,,2.534,0.7472
morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(O)C=C[C@H]3[C@H]1C5,1,1,1,1,0,4.385,1,0,0,,2.648,0.7607
MPTP,CN1CC=C(c2ccccc2)CC1,1,0,1,0,0,1.56,1,0,0,,1.564,0.7526
naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,1,1,1,1,0,4.198,1,0,0,,2.704,0.7783
nicotine,CN1CCC[C@H]1c1cccnc1,1,0,1,0,0,1.59,1,0,0,cyp_pyridine_heme,1.7,0.7394
nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,1,1,1,1,0,2.39,1,0,0,,2.704,0.682
nordazepam,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,1,0,1,1,0,2.35,1,0,0,,2.978,0.7771
nortriptyline,CNCCC=C1c2ccccc2CCc2ccccc21,1,1,1,1,1,2.134,1,0,0,,1.839,0.3924
orphenadrine,Cc1ccccc1C(OCCN(C)C)c1ccccc1,1,1,1,1,0,1.95,1,0,0,,1.633,0.7199
Dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,1,1,1,1,0,2.75,1,0,0,,1.967,0.7764
Dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,1,0,1,0,0,5.828,0,0,0,,3.71,0.5994
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1,0,1,1,0,1.0,1,0,0,,1.485,0.6956
Efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,1,1,1,1,0,2.291,1,0,0,,4.614,0.746
Enalapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,1,1,1,1,0,2.33,1,0,0,,1.938,0.5941
Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,1,0,1,1,0,1.0,0,0,0,,1.057,0.5478
aclarubicin,CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC,0,0,0,0,1,7.117,0,0,0,,3.432,0.2023
adicillin,CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,0,0,0,0,0,2.323,0,0,0,,2.279,0.5143
adrenaline,CNCC(O)c1ccc(O)c(O)c1,1,0,1,0,1,1.46,0,0,0,,1.956,0.2698
